Pavarde Vardas ND1 ND2 ND3 ND4 ND5 Egzaminas
Pavarde108 Vardas108 1 9 2 0 4 3 
Pavarde109 Vardas109 2 10 4 5 7 3 
Pavarde110 Vardas110 6 8 2 10 8 8 
Pavarde111 Vardas111 2 4 1 6 10 2 
Pavarde112 Vardas112 10 8 6 8 5 9 
Pavarde113 Vardas113 8 4 0 9 6 6 
Pavarde114 Vardas114 8 1 2 0 7 7 
Pavarde115 Vardas115 10 8 5 6 0 5 
Pavarde116 Vardas116 6 0 4 8 0 6 
Pavarde117 Vardas117 7 4 0 1 2 0 
Pavarde118 Vardas118 0 0 1 3 1 9 
Pavarde119 Vardas119 6 7 0 9 3 8 
Pavarde120 Vardas120 7 6 3 0 6 9 
Pavarde121 Vardas121 7 1 2 8 4 6 
Pavarde122 Vardas122 10 7 1 9 3 1 
Pavarde123 Vardas123 6 3 6 9 2 9 
Pavarde124 Vardas124 7 8 10 8 8 5 
Pavarde125 Vardas125 8 6 10 7 5 10 
Pavarde126 Vardas126 1 0 6 3 5 3 
Pavarde127 Vardas127 5 10 7 6 6 1 
Pavarde128 Vardas128 5 2 4 6 6 10 
Pavarde129 Vardas129 2 6 0 10 5 3 
Pavarde130 Vardas130 2 6 10 4 5 2 
Pavarde131 Vardas131 0 2 1 6 7 3 
Pavarde132 Vardas132 5 10 9 7 10 9 
Pavarde133 Vardas133 1 5 6 1 4 6 
Pavarde134 Vardas134 10 1 8 3 0 2 
Pavarde135 Vardas135 10 9 5 9 1 8 
Pavarde136 Vardas136 5 5 7 1 7 5 
Pavarde137 Vardas137 3 10 6 7 7 10 
Pavarde138 Vardas138 1 1 9 7 9 8 
Pavarde139 Vardas139 0 4 6 10 10 0 
Pavarde140 Vardas140 6 3 1 0 4 7 
Pavarde141 Vardas141 8 7 2 1 8 3 
Pavarde142 Vardas142 2 8 1 7 2 6 
Pavarde143 Vardas143 2 10 6 7 7 2 
Pavarde144 Vardas144 8 5 9 2 9 10 
Pavarde145 Vardas145 0 6 7 7 4 6 
Pavarde146 Vardas146 4 1 9 2 3 3 
Pavarde147 Vardas147 10 2 2 2 3 5 
Pavarde148 Vardas148 0 3 7 0 0 7 
Pavarde149 Vardas149 8 2 10 3 4 1 
Pavarde150 Vardas150 8 3 2 0 9 1 
Pavarde151 Vardas151 8 4 8 4 9 3 
Pavarde152 Vardas152 4 5 8 0 5 6 
Pavarde153 Vardas153 8 9 1 6 0 6 
Pavarde154 Vardas154 0 2 8 1 3 1 
Pavarde155 Vardas155 2 3 4 10 9 6 
Pavarde156 Vardas156 6 7 6 4 4 6 
Pavarde157 Vardas157 9 2 7 4 7 10 
Pavarde158 Vardas158 10 4 8 1 7 7 
Pavarde159 Vardas159 6 0 0 10 1 2 
Pavarde160 Vardas160 10 4 7 5 3 0 
Pavarde161 Vardas161 10 2 6 7 5 5 
Pavarde162 Vardas162 10 2 1 1 0 0 
Pavarde163 Vardas163 0 6 10 0 6 0 
Pavarde164 Vardas164 0 3 0 0 9 8 
Pavarde165 Vardas165 1 4 2 10 2 9 
Pavarde166 Vardas166 8 3 9 8 10 10 
Pavarde167 Vardas167 0 0 8 1 5 3 
Pavarde168 Vardas168 3 0 5 3 8 8 
Pavarde169 Vardas169 8 10 9 3 8 2 
Pavarde170 Vardas170 3 1 1 10 6 8 
Pavarde171 Vardas171 2 10 10 3 3 1 
Pavarde172 Vardas172 10 4 8 1 0 6 
Pavarde173 Vardas173 5 6 10 10 0 9 
Pavarde174 Vardas174 1 4 6 8 10 8 
Pavarde175 Vardas175 6 3 9 4 6 10 
Pavarde176 Vardas176 10 5 1 6 3 7 
Pavarde177 Vardas177 9 2 10 7 0 0 
Pavarde178 Vardas178 5 0 8 0 8 2 
Pavarde179 Vardas179 3 10 9 10 2 3 
Pavarde180 Vardas180 3 5 5 2 7 9 
Pavarde181 Vardas181 7 9 1 9 1 5 
Pavarde182 Vardas182 7 6 1 4 6 4 
Pavarde183 Vardas183 3 2 7 6 8 7 
Pavarde184 Vardas184 10 0 5 2 1 3 
Pavarde185 Vardas185 3 4 2 2 6 9 
Pavarde186 Vardas186 6 6 8 0 4 0 
Pavarde187 Vardas187 7 5 1 2 4 5 
Pavarde188 Vardas188 9 7 3 3 10 2 
Pavarde189 Vardas189 1 8 8 3 0 8 
Pavarde190 Vardas190 1 8 7 0 3 5 
Pavarde191 Vardas191 4 4 4 5 10 2 
Pavarde192 Vardas192 3 3 10 6 4 6 
Pavarde193 Vardas193 6 2 7 0 10 6 
Pavarde194 Vardas194 0 9 1 8 8 4 
Pavarde195 Vardas195 10 4 6 1 9 5 
Pavarde196 Vardas196 1 7 2 9 2 3 
Pavarde197 Vardas197 7 6 2 9 2 8 
Pavarde198 Vardas198 3 7 7 6 5 1 
Pavarde199 Vardas199 10 10 9 1 5 1 
Pavarde200 Vardas200 8 5 6 4 10 4 
Pavarde201 Vardas201 9 6 6 9 5 4 
Pavarde202 Vardas202 2 7 10 3 2 6 
Pavarde203 Vardas203 7 1 3 10 3 5 
Pavarde204 Vardas204 8 2 5 2 7 6 
Pavarde205 Vardas205 3 10 5 6 2 9 
Pavarde206 Vardas206 5 7 10 0 0 4 
Pavarde207 Vardas207 3 6 0 10 1 10 
Pavarde208 Vardas208 2 2 5 10 1 0 
Pavarde209 Vardas209 10 1 4 10 9 1 
Pavarde210 Vardas210 8 5 1 4 5 10 
Pavarde211 Vardas211 9 10 0 0 0 9 
Pavarde212 Vardas212 6 9 4 6 3 7 
Pavarde213 Vardas213 9 6 7 5 9 6 
Pavarde214 Vardas214 10 4 9 5 2 9 
Pavarde215 Vardas215 2 7 9 2 4 7 
Pavarde216 Vardas216 9 1 8 1 4 2 
Pavarde217 Vardas217 6 10 0 4 3 1 
Pavarde218 Vardas218 1 8 8 10 10 8 
Pavarde219 Vardas219 8 3 10 2 2 0 
Pavarde220 Vardas220 5 3 0 0 6 8 
Pavarde221 Vardas221 3 0 3 8 9 10 
Pavarde222 Vardas222 8 10 3 4 0 2 
Pavarde223 Vardas223 1 6 6 3 6 5 
Pavarde224 Vardas224 9 4 4 8 6 6 
Pavarde225 Vardas225 6 10 5 7 4 3 
Pavarde226 Vardas226 1 10 0 9 8 4 
Pavarde227 Vardas227 4 8 4 7 5 1 
Pavarde228 Vardas228 7 0 1 9 1 10 
Pavarde229 Vardas229 4 9 4 4 9 6 
Pavarde230 Vardas230 8 3 0 9 1 9 
Pavarde231 Vardas231 4 6 5 7 0 6 
Pavarde232 Vardas232 2 4 3 4 10 7 
Pavarde233 Vardas233 9 8 1 8 2 7 
Pavarde234 Vardas234 2 6 2 10 6 10 
Pavarde235 Vardas235 0 3 10 1 10 1 
Pavarde236 Vardas236 10 2 2 5 6 5 
Pavarde237 Vardas237 4 0 9 9 5 6 
Pavarde238 Vardas238 1 1 6 5 9 0 
Pavarde239 Vardas239 10 10 9 7 2 7 
Pavarde240 Vardas240 0 8 10 9 8 8 
Pavarde241 Vardas241 5 6 2 1 0 2 
Pavarde242 Vardas242 7 7 5 5 3 9 
Pavarde243 Vardas243 2 10 10 1 7 8 
Pavarde244 Vardas244 7 4 8 8 10 5 
Pavarde245 Vardas245 8 8 0 7 7 10 
Pavarde246 Vardas246 2 7 8 9 1 6 
Pavarde247 Vardas247 8 5 9 7 4 1 
Pavarde248 Vardas248 3 0 2 7 6 5 
Pavarde249 Vardas249 8 0 4 10 6 10 
Pavarde250 Vardas250 9 3 4 6 7 0 
Pavarde251 Vardas251 9 8 1 0 8 9 
Pavarde252 Vardas252 1 7 7 9 2 7 
Pavarde253 Vardas253 2 5 7 4 3 7 
Pavarde254 Vardas254 5 10 10 0 1 1 
Pavarde255 Vardas255 6 9 10 1 5 10 
Pavarde256 Vardas256 0 2 7 2 1 0 
Pavarde257 Vardas257 0 3 1 2 6 9 
Pavarde258 Vardas258 2 4 10 7 8 2 
Pavarde259 Vardas259 6 0 2 1 0 4 
Pavarde260 Vardas260 2 7 4 7 2 10 
Pavarde261 Vardas261 2 5 0 6 10 6 
Pavarde262 Vardas262 2 7 2 7 9 9 
Pavarde263 Vardas263 5 6 1 9 8 5 
Pavarde264 Vardas264 7 0 8 10 10 2 
Pavarde265 Vardas265 7 1 1 8 6 9 
Pavarde266 Vardas266 2 2 0 1 5 1 
Pavarde267 Vardas267 4 1 7 7 7 5 
Pavarde268 Vardas268 8 0 5 9 1 7 
Pavarde269 Vardas269 8 5 1 0 8 10 
Pavarde270 Vardas270 3 6 10 9 7 6 
Pavarde271 Vardas271 4 7 4 9 2 7 
Pavarde272 Vardas272 0 7 8 1 1 9 
Pavarde273 Vardas273 1 5 9 4 3 6 
Pavarde274 Vardas274 9 3 10 5 10 4 
Pavarde275 Vardas275 1 1 0 4 2 8 
Pavarde276 Vardas276 10 1 2 9 9 1 
Pavarde277 Vardas277 10 3 5 0 0 10 
Pavarde278 Vardas278 8 6 10 5 0 9 
Pavarde279 Vardas279 10 10 8 10 0 1 
Pavarde280 Vardas280 1 8 10 1 4 6 
Pavarde281 Vardas281 6 10 0 6 6 0 
Pavarde282 Vardas282 3 3 4 1 0 8 
Pavarde283 Vardas283 9 4 0 3 5 3 
Pavarde284 Vardas284 0 6 2 1 1 0 
Pavarde285 Vardas285 4 6 10 2 8 6 
Pavarde286 Vardas286 3 7 5 6 4 1 
Pavarde287 Vardas287 8 9 6 4 8 3 
Pavarde288 Vardas288 0 4 9 8 7 1 
Pavarde289 Vardas289 4 1 9 4 0 3 
Pavarde290 Vardas290 8 6 7 6 9 1 
Pavarde291 Vardas291 2 10 5 5 8 9 
Pavarde292 Vardas292 7 10 1 2 7 5 
Pavarde293 Vardas293 3 10 0 10 8 0 
Pavarde294 Vardas294 0 0 10 8 7 1 
Pavarde295 Vardas295 10 0 4 3 8 5 
Pavarde296 Vardas296 6 2 0 4 3 4 
Pavarde297 Vardas297 7 3 8 9 9 9 
Pavarde298 Vardas298 7 3 1 10 10 10 
Pavarde299 Vardas299 2 9 7 1 4 8 
Pavarde300 Vardas300 1 2 10 7 3 0 
Pavarde301 Vardas301 4 3 10 2 9 3 
Pavarde302 Vardas302 1 8 3 2 8 6 
Pavarde303 Vardas303 2 1 3 6 1 2 
Pavarde304 Vardas304 7 0 9 4 6 10 
Pavarde305 Vardas305 3 9 8 3 8 7 
Pavarde306 Vardas306 6 2 9 5 0 10 
Pavarde307 Vardas307 3 0 6 7 9 4 
Pavarde308 Vardas308 10 10 4 8 0 8 
Pavarde309 Vardas309 6 9 5 0 3 4 
Pavarde310 Vardas310 4 0 8 0 6 4 
Pavarde311 Vardas311 0 10 10 4 3 2 
Pavarde312 Vardas312 4 10 9 4 4 2 
Pavarde313 Vardas313 1 2 8 10 6 3 
Pavarde314 Vardas314 8 1 2 2 8 7 
Pavarde315 Vardas315 10 0 7 0 1 1 
Pavarde316 Vardas316 7 0 4 0 10 9 
Pavarde317 Vardas317 0 2 4 1 0 7 
Pavarde318 Vardas318 9 1 3 8 0 4 
Pavarde319 Vardas319 0 8 7 8 4 2 
Pavarde320 Vardas320 2 5 4 6 4 10 
Pavarde321 Vardas321 6 3 4 6 4 9 
Pavarde322 Vardas322 9 4 5 9 9 2 
Pavarde323 Vardas323 5 1 10 1 1 6 
Pavarde324 Vardas324 8 0 8 7 1 9 
Pavarde325 Vardas325 8 7 8 8 2 2 
Pavarde326 Vardas326 5 10 4 7 4 2 
Pavarde327 Vardas327 9 4 6 2 4 10 
Pavarde328 Vardas328 8 8 6 0 5 9 
Pavarde329 Vardas329 9 9 10 0 10 7 
Pavarde330 Vardas330 5 2 5 8 5 7 
Pavarde331 Vardas331 8 4 8 0 7 3 
Pavarde332 Vardas332 3 6 2 6 8 0 
Pavarde333 Vardas333 4 1 4 9 8 8 
Pavarde334 Vardas334 8 4 10 4 2 0 
Pavarde335 Vardas335 4 0 8 5 3 1 
Pavarde336 Vardas336 8 2 5 7 3 10 
Pavarde337 Vardas337 7 8 2 0 1 7 
Pavarde338 Vardas338 7 5 3 4 1 1 
Pavarde339 Vardas339 4 8 1 1 9 5 
Pavarde340 Vardas340 10 9 6 6 9 2 
Pavarde341 Vardas341 2 3 10 5 8 5 
Pavarde342 Vardas342 3 4 2 4 4 10 
Pavarde343 Vardas343 10 8 6 10 5 5 
Pavarde344 Vardas344 8 1 10 0 4 1 
Pavarde345 Vardas345 10 2 2 9 1 0 
Pavarde346 Vardas346 9 9 9 2 1 8 
Pavarde347 Vardas347 0 5 3 8 9 8 
Pavarde348 Vardas348 3 6 2 2 2 10 
Pavarde349 Vardas349 7 7 9 3 8 9 
Pavarde350 Vardas350 2 3 2 1 9 6 
Pavarde351 Vardas351 10 4 2 6 2 5 
Pavarde352 Vardas352 10 0 5 5 0 4 
Pavarde353 Vardas353 1 3 4 7 4 4 
Pavarde354 Vardas354 1 3 2 10 9 9 
Pavarde355 Vardas355 1 3 10 2 3 4 
Pavarde356 Vardas356 2 0 3 5 9 6 
Pavarde357 Vardas357 0 3 9 3 6 3 
Pavarde358 Vardas358 7 5 4 10 8 5 
Pavarde359 Vardas359 10 9 5 2 0 7 
Pavarde360 Vardas360 9 6 3 1 7 8 
Pavarde361 Vardas361 3 7 9 4 10 3 
Pavarde362 Vardas362 1 6 0 6 1 3 
Pavarde363 Vardas363 5 10 10 10 5 3 
Pavarde364 Vardas364 4 4 1 2 4 6 
Pavarde365 Vardas365 0 0 4 10 6 4 
Pavarde366 Vardas366 0 0 6 5 4 3 
Pavarde367 Vardas367 7 0 6 4 8 5 
Pavarde368 Vardas368 4 5 5 4 6 7 
Pavarde369 Vardas369 5 4 7 2 4 0 
Pavarde370 Vardas370 5 0 0 6 3 1 
Pavarde371 Vardas371 1 2 7 5 0 5 
Pavarde372 Vardas372 9 9 4 10 2 8 
Pavarde373 Vardas373 2 0 7 4 7 10 
Pavarde374 Vardas374 0 5 0 1 0 0 
Pavarde375 Vardas375 1 2 2 0 2 6 
Pavarde376 Vardas376 5 2 1 6 7 3 
Pavarde377 Vardas377 0 6 2 1 10 5 
Pavarde378 Vardas378 8 0 7 9 10 5 
Pavarde379 Vardas379 4 5 2 7 4 9 
Pavarde380 Vardas380 4 4 4 6 6 0 
Pavarde381 Vardas381 4 10 1 2 9 0 
Pavarde382 Vardas382 0 1 6 5 0 1 
Pavarde383 Vardas383 0 9 8 6 2 10 
Pavarde384 Vardas384 4 6 8 7 10 9 
Pavarde385 Vardas385 1 2 6 1 8 1 
Pavarde386 Vardas386 4 1 3 1 7 9 
Pavarde387 Vardas387 4 9 4 1 0 3 
Pavarde388 Vardas388 8 5 3 7 3 4 
Pavarde389 Vardas389 10 2 7 9 8 7 
Pavarde390 Vardas390 9 1 2 0 10 3 
Pavarde391 Vardas391 1 10 5 5 8 1 
Pavarde392 Vardas392 7 9 7 4 1 8 
Pavarde393 Vardas393 0 2 3 8 8 5 
Pavarde394 Vardas394 4 7 8 10 5 8 
Pavarde395 Vardas395 5 2 0 6 3 2 
Pavarde396 Vardas396 7 7 10 1 10 0 
Pavarde397 Vardas397 9 7 10 7 10 3 
Pavarde398 Vardas398 4 6 1 10 5 6 
Pavarde399 Vardas399 9 0 8 0 10 1 
Pavarde400 Vardas400 8 4 1 8 6 2 
Pavarde401 Vardas401 4 7 6 9 4 10 
Pavarde402 Vardas402 8 5 10 9 8 6 
Pavarde403 Vardas403 2 1 9 10 7 3 
Pavarde404 Vardas404 8 0 3 2 6 2 
Pavarde405 Vardas405 2 1 6 0 7 10 
Pavarde406 Vardas406 10 6 10 4 3 1 
Pavarde407 Vardas407 4 7 7 3 0 6 
Pavarde408 Vardas408 2 8 5 8 1 9 
Pavarde409 Vardas409 2 2 6 5 8 9 
Pavarde410 Vardas410 0 8 8 2 5 0 
Pavarde411 Vardas411 10 8 7 4 0 7 
Pavarde412 Vardas412 2 2 2 9 2 2 
Pavarde413 Vardas413 5 3 9 3 8 0 
Pavarde414 Vardas414 4 6 4 4 4 6 
Pavarde415 Vardas415 7 8 10 1 3 0 
Pavarde416 Vardas416 1 5 0 10 8 2 
Pavarde417 Vardas417 9 7 4 7 9 10 
Pavarde418 Vardas418 5 2 4 10 3 9 
Pavarde419 Vardas419 8 8 6 8 2 1 
Pavarde420 Vardas420 3 4 9 2 8 2 
Pavarde421 Vardas421 10 10 1 7 10 5 
Pavarde422 Vardas422 1 2 4 7 4 0 
Pavarde423 Vardas423 3 7 2 7 1 1 
Pavarde424 Vardas424 7 3 8 9 6 3 
Pavarde425 Vardas425 5 2 4 4 6 4 
Pavarde426 Vardas426 8 4 4 9 6 2 
Pavarde427 Vardas427 4 5 4 4 1 1 
Pavarde428 Vardas428 10 7 8 8 2 3 
Pavarde429 Vardas429 4 0 0 1 3 8 
Pavarde430 Vardas430 6 6 2 3 10 3 
Pavarde431 Vardas431 5 5 10 3 7 1 
Pavarde432 Vardas432 9 10 3 0 5 10 
Pavarde433 Vardas433 7 7 0 7 1 9 
Pavarde434 Vardas434 8 0 6 7 6 8 
Pavarde435 Vardas435 4 5 9 1 9 4 
Pavarde436 Vardas436 6 2 10 10 9 9 
Pavarde437 Vardas437 3 0 4 3 7 5 
Pavarde438 Vardas438 8 7 6 7 7 2 
Pavarde439 Vardas439 2 9 8 6 4 1 
Pavarde440 Vardas440 1 2 8 3 0 1 
Pavarde441 Vardas441 6 0 10 7 6 1 
Pavarde442 Vardas442 10 6 3 1 8 10 
Pavarde443 Vardas443 10 1 8 0 4 1 
Pavarde444 Vardas444 3 10 0 10 0 3 
Pavarde445 Vardas445 3 6 6 0 4 8 
Pavarde446 Vardas446 8 7 9 6 1 2 
Pavarde447 Vardas447 5 5 4 9 2 8 
Pavarde448 Vardas448 1 8 2 5 8 8 
Pavarde449 Vardas449 5 6 6 7 6 2 
Pavarde450 Vardas450 1 7 9 4 6 6 
Pavarde451 Vardas451 8 3 5 7 7 10 
Pavarde452 Vardas452 3 1 3 9 10 9 
Pavarde453 Vardas453 0 9 3 1 1 0 
Pavarde454 Vardas454 0 10 4 0 5 10 
Pavarde455 Vardas455 6 7 1 9 3 0 
Pavarde456 Vardas456 8 1 9 4 10 10 
Pavarde457 Vardas457 4 3 10 10 2 9 
Pavarde458 Vardas458 1 9 1 7 0 8 
Pavarde459 Vardas459 2 5 4 1 5 7 
Pavarde460 Vardas460 7 3 8 8 10 8 
Pavarde461 Vardas461 3 10 4 7 2 8 
Pavarde462 Vardas462 0 10 10 1 7 4 
Pavarde463 Vardas463 7 4 2 8 4 5 
Pavarde464 Vardas464 6 7 5 4 6 1 
Pavarde465 Vardas465 2 1 7 7 1 9 
Pavarde466 Vardas466 2 4 0 8 1 3 
Pavarde467 Vardas467 4 2 0 4 8 6 
Pavarde468 Vardas468 4 6 7 3 4 3 
Pavarde469 Vardas469 2 9 10 3 2 7 
Pavarde470 Vardas470 7 8 8 1 8 6 
Pavarde471 Vardas471 5 3 3 4 10 3 
Pavarde472 Vardas472 0 8 2 7 3 4 
Pavarde473 Vardas473 6 2 0 1 9 8 
Pavarde474 Vardas474 0 2 4 10 10 2 
Pavarde475 Vardas475 3 4 8 10 9 3 
Pavarde476 Vardas476 9 4 3 7 3 4 
Pavarde477 Vardas477 2 0 2 7 2 0 
Pavarde478 Vardas478 5 2 9 7 0 8 
Pavarde479 Vardas479 0 6 10 10 2 7 
Pavarde480 Vardas480 10 5 2 3 6 2 
Pavarde481 Vardas481 3 6 8 2 3 8 
Pavarde482 Vardas482 10 8 5 2 8 7 
Pavarde483 Vardas483 0 3 2 8 3 3 
Pavarde484 Vardas484 10 9 8 3 9 9 
Pavarde485 Vardas485 6 6 4 7 4 6 
Pavarde486 Vardas486 5 9 8 1 6 6 
Pavarde487 Vardas487 4 1 9 8 6 6 
Pavarde488 Vardas488 5 8 0 8 9 9 
Pavarde489 Vardas489 1 4 3 8 10 0 
Pavarde490 Vardas490 10 0 7 6 9 4 
Pavarde491 Vardas491 7 5 8 1 2 7 
Pavarde492 Vardas492 7 0 0 8 0 4 
Pavarde493 Vardas493 10 3 0 3 8 6 
Pavarde494 Vardas494 5 2 0 3 3 4 
Pavarde495 Vardas495 7 1 6 4 0 2 
Pavarde496 Vardas496 4 7 2 3 1 2 
Pavarde497 Vardas497 0 7 6 7 9 6 
Pavarde498 Vardas498 6 7 9 6 6 3 
Pavarde499 Vardas499 8 0 8 4 4 3 
Pavarde500 Vardas500 0 0 3 1 1 1 
Pavarde501 Vardas501 1 9 10 1 6 3 
Pavarde502 Vardas502 5 1 2 10 2 9 
Pavarde503 Vardas503 5 6 0 4 3 7 
Pavarde504 Vardas504 1 7 5 7 2 7 
Pavarde505 Vardas505 5 2 9 1 7 7 
Pavarde506 Vardas506 7 6 4 2 9 4 
Pavarde507 Vardas507 2 2 9 5 1 2 
Pavarde508 Vardas508 5 5 4 10 10 1 
Pavarde509 Vardas509 4 7 1 10 2 9 
Pavarde510 Vardas510 10 3 9 3 3 7 
Pavarde511 Vardas511 8 4 10 6 0 8 
Pavarde512 Vardas512 9 7 6 3 4 0 
Pavarde513 Vardas513 5 8 6 5 0 7 
Pavarde514 Vardas514 2 4 5 5 4 10 
Pavarde515 Vardas515 5 4 9 5 9 7 
Pavarde516 Vardas516 5 10 8 0 3 2 
Pavarde517 Vardas517 5 4 4 3 9 4 
Pavarde518 Vardas518 9 1 10 1 10 2 
Pavarde519 Vardas519 1 4 8 4 3 3 
Pavarde520 Vardas520 7 6 6 9 6 8 
Pavarde521 Vardas521 6 8 2 5 5 5 
Pavarde522 Vardas522 10 0 0 8 7 2 
Pavarde523 Vardas523 7 3 8 3 10 9 
Pavarde524 Vardas524 3 6 9 4 0 5 
Pavarde525 Vardas525 3 10 1 6 8 1 
Pavarde526 Vardas526 5 2 6 9 8 2 
Pavarde527 Vardas527 9 7 9 10 1 1 
Pavarde528 Vardas528 9 6 10 8 3 5 
Pavarde529 Vardas529 10 8 6 7 8 0 
Pavarde530 Vardas530 4 5 10 9 0 6 
Pavarde531 Vardas531 4 0 6 3 9 6 
Pavarde532 Vardas532 8 6 10 6 6 8 
Pavarde533 Vardas533 7 1 4 8 2 7 
Pavarde534 Vardas534 2 9 7 5 9 9 
Pavarde535 Vardas535 2 1 9 3 8 3 
