Pavarde Vardas ND1 ND2 ND3 ND4 ND5 Egzaminas
Pavarde118 Vardas118 7 0 6 2 2 9 
Pavarde119 Vardas119 2 8 1 4 7 4 
Pavarde120 Vardas120 10 3 2 7 5 5 
Pavarde121 Vardas121 7 6 2 5 3 6 
Pavarde122 Vardas122 3 2 9 7 10 1 
Pavarde123 Vardas123 0 10 7 0 4 4 
Pavarde124 Vardas124 0 0 0 5 10 8 
Pavarde125 Vardas125 0 4 0 9 3 6 
Pavarde126 Vardas126 9 2 7 9 6 5 
Pavarde127 Vardas127 2 6 0 0 10 1 
Pavarde128 Vardas128 4 3 4 4 0 5 
Pavarde129 Vardas129 1 7 10 5 10 2 
Pavarde130 Vardas130 7 7 9 4 10 10 
Pavarde131 Vardas131 7 8 3 1 7 1 
Pavarde132 Vardas132 0 4 6 0 3 3 
Pavarde133 Vardas133 2 3 8 4 0 4 
Pavarde134 Vardas134 4 1 9 10 10 3 
Pavarde135 Vardas135 3 5 1 2 7 9 
Pavarde136 Vardas136 8 8 0 5 4 1 
Pavarde137 Vardas137 9 3 4 6 6 2 
Pavarde138 Vardas138 0 6 6 5 4 1 
Pavarde139 Vardas139 4 10 1 5 1 3 
Pavarde140 Vardas140 8 9 2 2 9 2 
Pavarde141 Vardas141 0 7 10 9 2 0 
Pavarde142 Vardas142 4 2 2 6 9 1 
Pavarde143 Vardas143 4 10 0 6 9 9 
Pavarde144 Vardas144 9 5 8 3 5 2 
Pavarde145 Vardas145 10 1 1 2 1 4 
Pavarde146 Vardas146 1 5 7 8 3 2 
Pavarde147 Vardas147 2 10 6 2 1 4 
Pavarde148 Vardas148 0 1 4 10 5 9 
Pavarde149 Vardas149 0 0 3 1 8 10 
Pavarde150 Vardas150 8 9 3 9 3 4 
Pavarde151 Vardas151 3 5 3 10 2 4 
Pavarde152 Vardas152 0 2 2 1 10 8 
Pavarde153 Vardas153 7 2 8 7 1 6 
Pavarde154 Vardas154 8 0 3 9 8 7 
Pavarde155 Vardas155 10 6 8 2 3 2 
Pavarde156 Vardas156 9 7 3 6 4 2 
Pavarde157 Vardas157 8 9 7 0 2 7 
Pavarde158 Vardas158 5 10 5 2 2 9 
Pavarde159 Vardas159 2 10 5 4 5 3 
Pavarde160 Vardas160 3 9 1 9 5 5 
Pavarde161 Vardas161 1 1 7 9 9 7 
Pavarde162 Vardas162 3 3 10 8 1 9 
Pavarde163 Vardas163 4 6 9 2 9 1 
Pavarde164 Vardas164 10 7 2 8 9 9 
Pavarde165 Vardas165 3 7 8 3 10 2 
Pavarde166 Vardas166 6 4 1 10 0 1 
Pavarde167 Vardas167 5 5 9 7 2 10 
Pavarde168 Vardas168 4 8 4 7 7 7 
Pavarde169 Vardas169 5 3 10 2 7 7 
Pavarde170 Vardas170 1 5 8 4 6 8 
Pavarde171 Vardas171 3 7 4 1 4 9 
Pavarde172 Vardas172 4 5 1 4 5 3 
Pavarde173 Vardas173 3 7 4 9 3 3 
Pavarde174 Vardas174 4 5 9 4 6 4 
Pavarde175 Vardas175 9 9 4 0 5 1 
Pavarde176 Vardas176 3 7 4 1 4 5 
Pavarde177 Vardas177 8 5 9 8 5 4 
Pavarde178 Vardas178 8 7 9 0 6 3 
Pavarde179 Vardas179 10 8 4 9 0 10 
Pavarde180 Vardas180 2 1 3 4 3 7 
Pavarde181 Vardas181 9 9 2 7 0 10 
Pavarde182 Vardas182 9 5 4 8 5 0 
Pavarde183 Vardas183 7 5 0 5 8 6 
Pavarde184 Vardas184 6 0 9 7 6 0 
Pavarde185 Vardas185 6 0 10 5 3 7 
Pavarde186 Vardas186 10 10 6 5 7 3 
Pavarde187 Vardas187 6 5 6 9 2 7 
Pavarde188 Vardas188 2 1 7 1 3 3 
Pavarde189 Vardas189 8 0 7 2 6 9 
Pavarde190 Vardas190 0 9 7 6 0 1 
Pavarde191 Vardas191 8 4 4 10 4 6 
Pavarde192 Vardas192 3 10 1 7 8 6 
Pavarde193 Vardas193 0 4 8 9 7 6 
Pavarde194 Vardas194 5 9 3 4 0 6 
Pavarde195 Vardas195 1 5 7 8 10 2 
Pavarde196 Vardas196 2 10 10 6 4 4 
Pavarde197 Vardas197 2 6 3 2 2 1 
Pavarde198 Vardas198 0 3 6 6 4 1 
Pavarde199 Vardas199 0 8 7 4 0 8 
Pavarde200 Vardas200 8 2 4 7 9 3 
Pavarde201 Vardas201 1 4 3 8 3 0 
Pavarde202 Vardas202 1 1 6 2 1 3 
Pavarde203 Vardas203 1 3 8 10 6 9 
Pavarde204 Vardas204 0 7 0 4 2 8 
Pavarde205 Vardas205 6 5 4 1 3 2 
Pavarde206 Vardas206 4 0 10 10 6 5 
Pavarde207 Vardas207 1 3 5 8 10 7 
Pavarde208 Vardas208 7 10 6 3 7 0 
Pavarde209 Vardas209 4 0 4 3 0 10 
Pavarde210 Vardas210 9 1 8 3 1 0 
Pavarde211 Vardas211 10 4 6 5 1 10 
Pavarde212 Vardas212 9 8 9 7 7 2 
Pavarde213 Vardas213 1 9 8 3 1 10 
Pavarde214 Vardas214 9 6 10 4 10 7 
Pavarde215 Vardas215 7 5 7 3 5 0 
Pavarde216 Vardas216 1 10 6 7 4 9 
Pavarde217 Vardas217 7 6 2 4 1 1 
Pavarde218 Vardas218 3 9 4 5 1 7 
Pavarde219 Vardas219 5 8 5 0 6 2 
Pavarde220 Vardas220 4 6 6 9 2 3 
Pavarde221 Vardas221 9 5 0 6 5 7 
Pavarde222 Vardas222 0 8 6 3 8 10 
Pavarde223 Vardas223 6 4 10 9 0 10 
Pavarde224 Vardas224 4 5 6 10 4 2 
Pavarde225 Vardas225 4 1 7 8 4 7 
Pavarde226 Vardas226 3 0 6 1 9 8 
Pavarde227 Vardas227 10 2 3 6 10 9 
Pavarde228 Vardas228 5 0 1 0 1 2 
Pavarde229 Vardas229 5 3 9 0 1 7 
Pavarde230 Vardas230 6 5 2 9 2 8 
Pavarde231 Vardas231 1 2 8 3 4 3 
Pavarde232 Vardas232 9 2 5 5 0 7 
Pavarde233 Vardas233 8 1 1 6 5 10 
Pavarde234 Vardas234 2 0 1 6 10 4 
Pavarde235 Vardas235 3 5 5 7 10 6 
Pavarde236 Vardas236 7 1 6 6 4 8 
Pavarde237 Vardas237 0 7 9 7 7 8 
Pavarde238 Vardas238 6 1 8 2 2 9 
Pavarde239 Vardas239 7 1 3 6 6 0 
Pavarde240 Vardas240 6 0 2 9 7 2 
Pavarde241 Vardas241 7 2 1 6 7 4 
Pavarde242 Vardas242 10 6 2 4 8 10 
Pavarde243 Vardas243 1 7 5 6 10 5 
Pavarde244 Vardas244 6 7 8 2 3 5 
Pavarde245 Vardas245 4 3 9 9 0 10 
Pavarde246 Vardas246 4 8 8 5 1 6 
Pavarde247 Vardas247 5 1 5 1 2 4 
Pavarde248 Vardas248 9 5 7 8 0 1 
Pavarde249 Vardas249 0 5 1 4 9 5 
Pavarde250 Vardas250 1 2 5 10 4 2 
Pavarde251 Vardas251 10 7 0 6 2 10 
Pavarde252 Vardas252 2 7 4 10 6 5 
Pavarde253 Vardas253 9 0 0 2 0 1 
Pavarde254 Vardas254 2 0 4 0 3 6 
Pavarde255 Vardas255 2 9 5 4 6 0 
Pavarde256 Vardas256 0 1 6 4 4 3 
Pavarde257 Vardas257 8 6 5 3 7 6 
Pavarde258 Vardas258 1 1 3 9 2 5 
Pavarde259 Vardas259 3 10 0 2 9 10 
Pavarde260 Vardas260 10 6 3 2 8 2 
Pavarde261 Vardas261 8 8 9 8 3 7 
Pavarde262 Vardas262 4 3 5 4 5 0 
Pavarde263 Vardas263 6 10 2 9 8 8 
Pavarde264 Vardas264 9 10 4 8 2 3 
Pavarde265 Vardas265 1 7 0 1 3 9 
Pavarde266 Vardas266 5 3 10 4 7 1 
Pavarde267 Vardas267 7 4 8 0 2 7 
Pavarde268 Vardas268 10 2 7 1 4 1 
Pavarde269 Vardas269 7 8 7 2 4 8 
Pavarde270 Vardas270 5 0 0 6 1 4 
Pavarde271 Vardas271 9 1 8 8 3 7 
Pavarde272 Vardas272 4 2 3 2 0 7 
Pavarde273 Vardas273 5 1 10 3 5 3 
Pavarde274 Vardas274 6 8 3 10 8 8 
Pavarde275 Vardas275 8 4 1 9 5 3 
Pavarde276 Vardas276 0 9 7 9 8 2 
Pavarde277 Vardas277 10 5 0 0 0 8 
Pavarde278 Vardas278 6 9 0 4 0 6 
Pavarde279 Vardas279 7 0 0 2 4 8 
Pavarde280 Vardas280 4 10 6 3 7 5 
Pavarde281 Vardas281 9 8 8 9 2 7 
Pavarde282 Vardas282 1 9 4 7 3 6 
Pavarde283 Vardas283 9 1 7 5 8 5 
Pavarde284 Vardas284 9 4 0 0 2 0 
Pavarde285 Vardas285 4 0 6 4 3 9 
Pavarde286 Vardas286 1 2 8 9 9 6 
Pavarde287 Vardas287 6 10 10 0 9 7 
Pavarde288 Vardas288 1 9 4 1 2 3 
Pavarde289 Vardas289 6 6 8 0 4 4 
Pavarde290 Vardas290 2 8 0 5 3 5 
Pavarde291 Vardas291 4 6 5 9 9 0 
Pavarde292 Vardas292 2 5 5 7 5 8 
Pavarde293 Vardas293 0 10 10 6 10 5 
Pavarde294 Vardas294 4 2 5 0 2 9 
Pavarde295 Vardas295 7 10 1 0 1 3 
Pavarde296 Vardas296 0 5 5 2 7 6 
Pavarde297 Vardas297 1 10 10 8 0 6 
Pavarde298 Vardas298 4 6 3 1 1 9 
Pavarde299 Vardas299 7 5 9 7 7 7 
Pavarde300 Vardas300 9 9 10 5 6 9 
Pavarde301 Vardas301 6 8 6 9 3 7 
Pavarde302 Vardas302 3 2 3 1 4 6 
Pavarde303 Vardas303 2 3 8 3 6 3 
Pavarde304 Vardas304 7 3 7 2 2 4 
Pavarde305 Vardas305 2 2 0 6 4 3 
Pavarde306 Vardas306 5 2 3 4 10 10 
Pavarde307 Vardas307 7 2 10 8 6 6 
Pavarde308 Vardas308 8 2 1 10 10 6 
Pavarde309 Vardas309 5 4 2 8 4 4 
Pavarde310 Vardas310 9 2 7 9 3 10 
Pavarde311 Vardas311 1 3 4 1 7 9 
Pavarde312 Vardas312 10 10 3 0 0 10 
Pavarde313 Vardas313 10 7 10 9 3 5 
Pavarde314 Vardas314 7 0 10 10 0 2 
Pavarde315 Vardas315 0 6 1 6 0 8 
Pavarde316 Vardas316 4 3 6 6 6 0 
Pavarde317 Vardas317 4 4 0 1 3 8 
Pavarde318 Vardas318 6 9 8 6 6 4 
Pavarde319 Vardas319 10 6 9 1 10 5 
Pavarde320 Vardas320 3 1 4 9 1 2 
Pavarde321 Vardas321 3 5 6 6 0 3 
Pavarde322 Vardas322 2 3 2 10 7 9 
Pavarde323 Vardas323 7 3 9 10 0 0 
Pavarde324 Vardas324 6 2 5 6 0 7 
Pavarde325 Vardas325 6 8 5 3 10 1 
Pavarde326 Vardas326 9 6 6 7 5 10 
Pavarde327 Vardas327 1 1 4 3 0 1 
Pavarde328 Vardas328 1 1 6 8 7 4 
Pavarde329 Vardas329 5 9 2 1 6 5 
Pavarde330 Vardas330 8 9 9 9 0 6 
Pavarde331 Vardas331 3 2 2 0 0 4 
Pavarde332 Vardas332 0 4 4 6 1 1 
Pavarde333 Vardas333 7 3 5 3 3 1 
Pavarde334 Vardas334 9 8 3 1 9 4 
Pavarde335 Vardas335 8 2 5 6 2 10 
Pavarde336 Vardas336 10 5 4 4 8 4 
Pavarde337 Vardas337 10 9 3 0 6 5 
Pavarde338 Vardas338 1 0 5 5 10 4 
Pavarde339 Vardas339 1 2 8 8 3 1 
Pavarde340 Vardas340 7 10 9 3 3 10 
Pavarde341 Vardas341 10 7 9 6 2 8 
Pavarde342 Vardas342 1 9 6 3 10 7 
Pavarde343 Vardas343 3 3 1 2 3 9 
Pavarde344 Vardas344 9 5 6 3 1 1 
Pavarde345 Vardas345 9 2 8 7 8 9 
Pavarde346 Vardas346 2 7 6 5 4 6 
Pavarde347 Vardas347 5 10 6 0 7 4 
Pavarde348 Vardas348 10 5 8 0 3 1 
Pavarde349 Vardas349 6 5 3 8 0 6 
Pavarde350 Vardas350 0 6 0 3 8 6 
Pavarde351 Vardas351 2 1 1 10 4 4 
Pavarde352 Vardas352 6 10 4 7 4 2 
Pavarde353 Vardas353 5 0 5 3 7 6 
Pavarde354 Vardas354 0 5 5 10 3 2 
Pavarde355 Vardas355 3 0 7 6 4 3 
Pavarde356 Vardas356 7 6 3 4 6 4 
Pavarde357 Vardas357 2 4 9 3 2 1 
Pavarde358 Vardas358 5 9 9 1 4 0 
Pavarde359 Vardas359 1 5 5 8 6 0 
Pavarde360 Vardas360 8 9 10 2 1 0 
Pavarde361 Vardas361 2 3 8 6 3 3 
Pavarde362 Vardas362 3 10 8 0 10 10 
Pavarde363 Vardas363 0 1 9 1 4 1 
Pavarde364 Vardas364 4 5 4 8 7 7 
Pavarde365 Vardas365 1 6 3 6 10 4 
Pavarde366 Vardas366 10 0 3 6 7 2 
Pavarde367 Vardas367 3 0 8 4 9 7 
Pavarde368 Vardas368 9 6 4 6 1 6 
Pavarde369 Vardas369 1 3 9 5 7 8 
Pavarde370 Vardas370 4 7 2 9 3 5 
Pavarde371 Vardas371 0 7 10 7 10 10 
Pavarde372 Vardas372 3 7 5 2 10 7 
Pavarde373 Vardas373 3 2 2 5 7 8 
Pavarde374 Vardas374 1 2 8 5 5 0 
Pavarde375 Vardas375 4 0 2 3 1 2 
Pavarde376 Vardas376 5 4 3 8 7 0 
Pavarde377 Vardas377 2 10 10 5 5 5 
Pavarde378 Vardas378 1 2 1 5 7 2 
Pavarde379 Vardas379 3 7 10 5 5 6 
Pavarde380 Vardas380 3 7 9 8 8 0 
Pavarde381 Vardas381 9 0 7 2 9 1 
Pavarde382 Vardas382 4 9 6 10 6 4 
Pavarde383 Vardas383 8 3 1 1 6 9 
Pavarde384 Vardas384 4 9 0 3 1 5 
Pavarde385 Vardas385 4 7 6 1 8 4 
Pavarde386 Vardas386 4 5 2 6 1 7 
Pavarde387 Vardas387 8 10 2 3 3 9 
Pavarde388 Vardas388 8 1 8 3 10 7 
Pavarde389 Vardas389 7 8 9 0 6 0 
Pavarde390 Vardas390 6 5 8 1 0 2 
Pavarde391 Vardas391 6 8 1 8 3 5 
Pavarde392 Vardas392 6 10 5 1 3 1 
Pavarde393 Vardas393 1 3 2 6 1 6 
Pavarde394 Vardas394 9 10 8 7 9 10 
Pavarde395 Vardas395 9 4 3 4 7 5 
Pavarde396 Vardas396 6 6 1 2 2 7 
Pavarde397 Vardas397 10 2 0 4 3 3 
Pavarde398 Vardas398 5 4 3 0 4 2 
Pavarde399 Vardas399 9 3 5 1 2 6 
Pavarde400 Vardas400 6 9 7 2 2 8 
Pavarde401 Vardas401 8 8 8 10 2 3 
Pavarde402 Vardas402 4 0 7 1 7 0 
Pavarde403 Vardas403 7 10 5 8 0 8 
Pavarde404 Vardas404 5 7 7 7 2 2 
Pavarde405 Vardas405 5 6 5 1 0 1 
Pavarde406 Vardas406 8 1 4 7 1 8 
Pavarde407 Vardas407 8 8 5 7 4 0 
Pavarde408 Vardas408 3 6 1 9 9 2 
Pavarde409 Vardas409 6 8 8 6 5 6 
Pavarde410 Vardas410 1 4 2 9 5 7 
Pavarde411 Vardas411 1 6 5 1 2 7 
Pavarde412 Vardas412 9 7 8 6 10 6 
Pavarde413 Vardas413 9 8 10 8 4 0 
Pavarde414 Vardas414 10 4 1 3 0 5 
Pavarde415 Vardas415 5 6 1 6 10 0 
Pavarde416 Vardas416 7 10 1 9 9 3 
Pavarde417 Vardas417 9 0 4 3 3 0 
Pavarde418 Vardas418 3 1 1 4 0 1 
Pavarde419 Vardas419 3 9 1 1 5 0 
Pavarde420 Vardas420 4 10 8 1 1 10 
Pavarde421 Vardas421 6 9 7 0 3 7 
Pavarde422 Vardas422 9 10 2 6 2 1 
Pavarde423 Vardas423 7 3 8 5 2 5 
Pavarde424 Vardas424 0 2 5 7 3 1 
Pavarde425 Vardas425 1 7 2 5 5 10 
Pavarde426 Vardas426 9 2 8 3 3 1 
Pavarde427 Vardas427 1 6 7 8 0 1 
Pavarde428 Vardas428 7 6 0 3 4 0 
Pavarde429 Vardas429 2 3 1 10 0 2 
Pavarde430 Vardas430 7 1 8 1 3 6 
Pavarde431 Vardas431 1 1 7 6 8 5 
Pavarde432 Vardas432 9 1 10 0 10 10 
Pavarde433 Vardas433 3 7 1 1 9 8 
Pavarde434 Vardas434 1 7 3 9 8 6 
Pavarde435 Vardas435 10 3 7 8 8 9 
Pavarde436 Vardas436 6 5 0 9 1 7 
Pavarde437 Vardas437 2 8 9 2 4 10 
Pavarde438 Vardas438 6 1 0 8 3 3 
Pavarde439 Vardas439 5 8 8 9 0 1 
Pavarde440 Vardas440 6 10 3 3 3 8 
Pavarde441 Vardas441 6 0 8 10 7 5 
Pavarde442 Vardas442 4 7 6 8 1 4 
Pavarde443 Vardas443 2 1 10 5 6 9 
Pavarde444 Vardas444 4 3 7 6 0 3 
Pavarde445 Vardas445 6 2 8 4 3 3 
Pavarde446 Vardas446 7 4 8 5 4 1 
Pavarde447 Vardas447 8 9 3 0 8 4 
Pavarde448 Vardas448 0 8 1 10 6 6 
Pavarde449 Vardas449 10 6 9 7 10 7 
Pavarde450 Vardas450 4 6 8 7 7 3 
Pavarde451 Vardas451 3 0 4 7 5 9 
Pavarde452 Vardas452 9 4 0 6 0 1 
Pavarde453 Vardas453 5 7 1 0 10 6 
Pavarde454 Vardas454 7 5 7 1 4 7 
Pavarde455 Vardas455 2 8 0 2 9 2 
Pavarde456 Vardas456 10 4 8 1 4 9 
Pavarde457 Vardas457 9 5 4 0 2 10 
Pavarde458 Vardas458 2 1 8 10 4 4 
Pavarde459 Vardas459 8 10 2 6 0 6 
Pavarde460 Vardas460 2 6 1 1 2 7 
Pavarde461 Vardas461 8 5 10 8 1 8 
Pavarde462 Vardas462 9 5 1 7 0 3 
Pavarde463 Vardas463 2 1 4 2 4 4 
Pavarde464 Vardas464 10 7 5 7 3 10 
Pavarde465 Vardas465 8 3 9 8 7 3 
Pavarde466 Vardas466 9 6 2 9 10 0 
Pavarde467 Vardas467 0 10 5 0 7 8 
Pavarde468 Vardas468 7 6 0 8 1 8 
Pavarde469 Vardas469 8 1 7 6 2 1 
Pavarde470 Vardas470 6 1 1 1 2 3 
Pavarde471 Vardas471 0 3 10 1 2 5 
Pavarde472 Vardas472 9 5 0 3 1 1 
Pavarde473 Vardas473 8 7 1 1 8 5 
Pavarde474 Vardas474 6 8 7 10 4 1 
Pavarde475 Vardas475 3 2 7 10 2 7 
Pavarde476 Vardas476 2 6 3 4 10 0 
Pavarde477 Vardas477 6 10 8 4 1 4 
Pavarde478 Vardas478 0 9 0 3 0 10 
Pavarde479 Vardas479 6 4 8 8 9 8 
Pavarde480 Vardas480 3 1 0 8 10 9 
Pavarde481 Vardas481 6 2 7 6 7 4 
Pavarde482 Vardas482 7 5 6 0 1 1 
Pavarde483 Vardas483 10 2 9 10 0 8 
Pavarde484 Vardas484 8 2 8 5 9 4 
Pavarde485 Vardas485 2 3 4 3 9 4 
Pavarde486 Vardas486 8 7 2 9 3 6 
Pavarde487 Vardas487 3 5 4 0 2 6 
Pavarde488 Vardas488 9 10 6 8 7 4 
Pavarde489 Vardas489 4 6 6 3 8 4 
Pavarde490 Vardas490 6 1 8 10 4 3 
Pavarde491 Vardas491 2 1 3 8 1 3 
Pavarde492 Vardas492 3 7 9 9 3 7 
Pavarde493 Vardas493 10 10 10 0 2 3 
Pavarde494 Vardas494 5 9 1 4 8 0 
Pavarde495 Vardas495 9 3 5 8 6 4 
Pavarde496 Vardas496 7 0 8 0 6 10 
Pavarde497 Vardas497 5 1 2 9 8 10 
Pavarde498 Vardas498 5 1 10 5 2 6 
Pavarde499 Vardas499 9 4 3 3 10 9 
Pavarde500 Vardas500 2 6 7 7 2 5 
Pavarde501 Vardas501 6 10 0 1 3 6 
Pavarde502 Vardas502 3 4 2 4 2 3 
Pavarde503 Vardas503 5 5 9 4 8 8 
Pavarde504 Vardas504 3 9 8 9 10 4 
Pavarde505 Vardas505 10 2 5 10 9 0 
Pavarde506 Vardas506 10 3 4 6 4 1 
Pavarde507 Vardas507 5 3 1 0 0 2 
Pavarde508 Vardas508 1 10 9 3 1 7 
Pavarde509 Vardas509 9 8 4 9 2 6 
Pavarde510 Vardas510 9 10 0 7 9 2 
Pavarde511 Vardas511 2 0 10 1 1 10 
Pavarde512 Vardas512 2 7 3 1 9 10 
Pavarde513 Vardas513 8 10 8 10 8 8 
Pavarde514 Vardas514 10 2 1 4 2 8 
Pavarde515 Vardas515 8 9 5 4 5 8 
Pavarde516 Vardas516 2 2 6 9 2 8 
Pavarde517 Vardas517 3 6 2 4 6 10 
Pavarde518 Vardas518 4 9 3 3 1 10 
Pavarde519 Vardas519 9 10 8 4 0 1 
Pavarde520 Vardas520 4 7 10 9 3 8 
Pavarde521 Vardas521 5 1 3 1 8 4 
Pavarde522 Vardas522 7 4 4 5 4 0 
Pavarde523 Vardas523 5 3 3 9 0 0 
Pavarde524 Vardas524 3 0 3 7 8 0 
Pavarde525 Vardas525 6 2 5 5 3 7 
Pavarde526 Vardas526 1 3 7 8 1 5 
Pavarde527 Vardas527 10 5 10 7 1 6 
Pavarde528 Vardas528 2 8 3 3 5 6 
Pavarde529 Vardas529 6 1 1 1 1 6 
Pavarde530 Vardas530 3 5 4 7 8 4 
Pavarde531 Vardas531 7 6 1 0 0 8 
Pavarde532 Vardas532 10 6 1 4 8 6 
Pavarde533 Vardas533 1 5 4 3 3 0 
Pavarde534 Vardas534 9 0 8 0 4 1 
Pavarde535 Vardas535 3 7 1 6 10 2 
